,long,lat,group,order,region,State
91929,-94.87168121,29.29013634,1464,91929,USA,Texas
91930,-94.82597351,29.34130669,1464,91930,USA,Texas
91931,-94.7676239,29.33906364,1464,91931,USA,Texas
91932,-94.86494446,29.2528801,1464,91932,USA,Texas
91933,-95.03969574,29.14589882,1464,91933,USA,Texas
91935,-91.79370117,29.50073051,1465,91935,USA,Louisiana
91936,-91.83086395,29.4864769,1465,91936,USA,Louisiana
91937,-91.99623871,29.57309723,1465,91937,USA,Louisiana
91938,-92.0066452,29.61030388,1465,91938,USA,Louisiana
91939,-91.92504883,29.64394569,1465,91939,USA,Louisiana
91940,-91.87524414,29.64096451,1465,91940,USA,Louisiana
91941,-91.7964859,29.59697151,1465,91941,USA,Louisiana
91942,-91.76767731,29.5847187,1465,91942,USA,Louisiana
91943,-91.75429535,29.56689453,1465,91943,USA,Louisiana
91944,-91.76190948,29.53901482,1465,91944,USA,Louisiana
91945,-91.79370117,29.50073051,1465,91945,USA,Louisiana
91947,-84.90791321,29.64262772,1466,91947,USA,Florida
91948,-85.008255,29.60663986,1466,91948,USA,Florida
91949,-85.116745,29.6328125,1466,91949,USA,Florida
91950,-85.04931641,29.63779259,1466,91950,USA,Florida
91951,-85.00053406,29.62719917,1466,91951,USA,Florida
91952,-84.8769989,29.67866135,1466,91952,USA,Florida
91953,-84.81221008,29.71762657,1466,91953,USA,Florida
91954,-84.73715973,29.73242188,1466,91954,USA,Florida
91955,-84.90791321,29.64262772,1466,91955,USA,Florida
91964,-88.82744598,29.80771446,1468,91964,USA,Louisiana
91965,-88.85566711,29.77587891,1468,91965,USA,Louisiana
91966,-88.82797241,29.92836952,1468,91966,USA,Louisiana
91967,-88.86689758,30.05673981,1468,91967,USA,Louisiana
91968,-88.82588196,30.00039101,1468,91968,USA,Louisiana
91969,-88.81259155,29.9333477,1468,91969,USA,Louisiana
91970,-88.82744598,29.80771446,1468,91970,USA,Louisiana
91972,-89.22397614,30.08407974,1469,91972,USA,Louisiana
91973,-89.22045898,30.03759766,1469,91973,USA,Louisiana
91974,-89.26943207,30.06074142,1469,91974,USA,Louisiana
91975,-89.34198761,30.06284142,1469,91975,USA,Louisiana
91976,-89.31005859,30.07871246,1469,91976,USA,Louisiana
91977,-89.28765106,30.09418869,1469,91977,USA,Louisiana
91978,-89.27646637,30.11084175,1469,91978,USA,Louisiana
91979,-89.18466949,30.16865158,1469,91979,USA,Louisiana
91980,-89.21069336,30.1262188,1469,91980,USA,Louisiana
91981,-89.22397614,30.08407974,1469,91981,USA,Louisiana
91983,-88.55810547,30.21591759,1470,91983,USA,Mississippi
91984,-88.57065582,30.20478439,1470,91984,USA,Mississippi
91985,-88.65923309,30.22558403,1470,91985,USA,Mississippi
91986,-88.71308899,30.24492073,1470,91986,USA,Mississippi
91987,-88.72285461,30.26425743,1470,91987,USA,Mississippi
91988,-88.57397461,30.22915077,1470,91988,USA,Mississippi
91989,-88.55810547,30.21591759,1470,91989,USA,Mississippi
91991,-88.07133484,30.25234222,1471,91991,USA,Alabama
91992,-88.15932465,30.23090935,1471,91992,USA,Alabama
91993,-88.28974152,30.23291016,1471,91993,USA,Alabama
91994,-88.31626129,30.24043083,1471,91994,USA,Alabama
91995,-88.26391602,30.25473595,1471,91995,USA,Alabama
91996,-88.109375,30.27373123,1471,91996,USA,Alabama
91997,-88.07133484,30.25234222,1471,91997,USA,Alabama
92006,-118.3503876,32.82758713,1473,92006,USA,California
92007,-118.4085999,32.81850433,1473,92007,USA,California
92008,-118.4731979,32.83891678,1473,92008,USA,California
92009,-118.5289001,32.93559647,1473,92009,USA,California
92010,-118.5901871,33.01118088,1473,92010,USA,California
92011,-118.5570831,33.03266525,1473,92011,USA,California
92012,-118.5074692,32.95991135,1473,92012,USA,California
92013,-118.3832016,32.84946442,1473,92013,USA,California
92014,-118.3503876,32.82758713,1473,92014,USA,California
92016,-119.4380417,33.21718597,1474,92016,USA,California
92017,-119.4825211,33.21533203,1474,92017,USA,California
92018,-119.5436478,33.22460938,1474,92018,USA,California
92019,-119.5751953,33.27832031,1474,92019,USA,California
92020,-119.5251389,33.28203201,1474,92020,USA,California
92021,-119.4788055,33.27460861,1474,92021,USA,California
92022,-119.4420471,33.23242188,1474,92022,USA,California
92023,-119.4380417,33.21718597,1474,92023,USA,California
92025,-118.3479462,33.38574219,1475,92025,USA,California
92026,-118.2974548,33.3121109,1475,92026,USA,California
92027,-118.3702087,33.32123947,1475,92027,USA,California
92028,-118.4462891,33.31708908,1475,92028,USA,California
92029,-118.4693298,33.35712814,1475,92029,USA,California
